VTE,TF,GE,TOTAL,X,Y
3044,69,240,3353,"70° 19' 6,967"" W","18° 28' 47,942"" S"
537,0,0,537,"70° 29' 11,636"" W","28° 45' 35,216"" S"
1889,0,354,2243,"73° 49' 41,867"" W","41° 52' 5,614"" S"
765,343,0,1108,"71° 40' 47,950"" W","37° 19' 48,104"" S"
765,343,0,1108,"71° 40' 47,950"" W","37° 19' 48,104"" S"
3044,69,240,3353,"70° 19' 6,967"" W","18° 28' 47,942"" S"
1530,193,97,1820,"70° 49' 17,702"" W","27° 4' 2,838"" S"
0,300,0,300,"73° 23' 56,503"" W","37° 47' 59,242"" S"
1571,186,0,1757,"71° 24' 21,600"" W","35° 41' 46,684"" S"
0,310,0,310,"72° 24' 45,989"" W","35° 19' 49,960"" S"
0,238,0,238,"73° 25' 37,868"" W","39° 53' 17,071"" S"
664,374,0,1038,"71° 35' 17,302"" W","39° 21' 26,665"" S"
0,0,752,752,"72° 24' 20,268"" W","37° 2' 14,821"" S"
1530,193,97,1820,"70° 49' 17,702"" W","27° 4' 2,838"" S"
273,0,0,273,"72° 40' 52,813"" W","44° 43' 40,030"" S"
722,0,0,722,"72° 47' 33,148"" W","36° 7' 54,026"" S"
85,0,0,85,"69°44' 39,000"" W","18°50' 00,000"" S"
1571,186,0,1757,"71° 24' 21,600"" W","35° 41' 46,684"" S"
876,463,0,1339,"71° 0' 7,517"" W","31° 10' 40,253"" S"
0,0,1681,1681,"71° 20' 17,162"" W","29° 57' 14,002"" S"
639,0,0,639,"72°04' 07,000"" W","45°34' 16,000"" S"
664,374,0,1038,"71° 35' 17,302"" W","39° 21' 26,665"" S"
316,0,0,316,"73° 38' 50,680"" W","42° 22' 49,843"" S"
2670,587,0,3257,"71° 41' 38,512"" W","33° 23' 59,690"" S"
2670,587,0,3257,"71° 41' 38,512"" W","33° 23' 59,690"" S"
0,358,240,598,"73° 1' 40,494"" W","41° 8' 9,337"" S"
0,358,240,598,"73° 1' 40,494"" W","41° 8' 9,337"" S"
354,0,0,354,"72° 28' 12,000"" W","41° 57' 58,792"" S"
1666,268,0,1934,"71° 15' 3,097"" W","29° 54' 8,248"" S"
0,658,119,777,"72° 28' 48,817"" W","40° 19' 13,614"" S"
0,190,0,190,"71° 59' 2,400"" W","34° 59' 16,393"" S"
0,253,0,253,"71° 35' 49,833"" W","35° 50' 41,719"" S"
0,613,39,652,"73° 0' 20,030"" W","41° 15' 23,227"" S"
1666,268,0,1934,"71° 15' 3,097"" W","29° 54' 8,248"" S"
37,0,0,37,"71° 15' 3,097"" W","29° 54' 8,248"" S"
0,658,119,777,"72° 28' 48,817"" W","40° 19' 13,614"" S"
2349,346,0,2695,"71° 18' 33,275"" W","34° 17' 30,937"" S"
0,613,39,652,"73° 0' 20,030"" W","41° 15' 23,227"" S"
1180,0,0,1180,"71° 22' 12,633"" W","38° 27' 6,919"" S"
646,0,677,1323,"72° 21' 1,720"" W","37° 28' 16,177"" S"
2545,734,0,3279,"71° 11' 6,928"" W","32° 59' 42,838"" S"
449,0,0,449,"71° 12' 13,670"" W","30° 36' 13,902"" S"
3561,636,721,4918,"72° 0' 15,872"" W","34° 23' 14,144"" S"
2267,359,760,3386,"71° 58' 25,079"" W","39° 16' 34,241"" S"
2267,359,760,3386,"71° 58' 25,079"" W","39° 16' 34,241"" S"
0,266,0,266,"72° 53' 2,400"" W","40° 58' 22,710"" S"
618,300,0,918,"73° 23' 45,902"" W","38° 47' 18,362"" S"
75,169,437,681,"72° 59' 5,044"" W","41° 19' 2,796"" S"
447,0,0,447,"72° 19' 56,183"" W","39° 38' 30,077"" S"
1962,0,754,2716,"72° 34' 37,200"" W","35° 48' 54,868"" S"
192,0,0,192,72° 1' 17.650'' W,41° 5' 17.197'' S
564,0,239,803,"69° 19' 43,904"" W","20° 29' 27,518"" S"
3561,636,721,4918,"72° 0' 15,872"" W","34° 23' 14,144"" S"
851,0,0,851,"70° 34' 22,777"" W","33° 38' 5,301"" S"
1032,0,0,1032,"71° 24' 57,478"" W","32° 43' 32,405"" S"
2267,359,760,3386,"71° 58' 25,079"" W","39° 16' 34,241"" S"
936,0,0,936,"72° 56' 14,163"" W","41° 28' 19,182"" S"
1183,0,190,1373,"72° 30' 22,000"" W","51° 43' 35,000"" S"
0,0,209,209,"72° 34' 20,464"" W","47° 15' 17,082"" S"
75,169,437,681,"72° 59' 5,044"" W","41° 19' 2,796"" S"
1379,0,0,1379,"70° 54' 32,071"" W","53° 9' 48,015"" S"
290,0,0,290,"72° 36' 14,400"" W","40° 41' 1,046"" S"
642,458,0,1100,"72° 28' 40,111"" W","36° 44' 51,132"" S"
204,0,0,204,"71° 14' 49,230"" W","32° 52' 45,607"" S"
377,0,0,377,"71° 31' 39,876"" W","32° 47' 8,255"" S"
416,0,0,416,"71° 33' 3,600"" W","36° 33' 25,085"" S"
110,0,0,110,"73° 28' 4,800"" W","40° 36' 27,018"" S"
1329,0,0,1329,"68° 12' 1,220"" W","22° 54' 37,817"" S"
0,0,159,159,"70° 39' 0,979"" W","33° 26' 12,937"" S"
35,0,0,35,"70° 12' 3,021"" W","22° 5' 36,275"" S"
3546,938,1794,6278,"71° 33' 12,790"" W","33° 1' 24,465"" S"
1088,0,0,1088,"73° 14' 47,857"" W","39° 48' 46,360"" S"
62,0,0,62,"73° 14' 47,857"" W","39° 48' 46,360"" S"
972,0,0,972,"71°29' 37,000"" W","36°54' 44,000"" S"
641,308,0,949,"71° 59' 33,306"" W","34° 53' 3,358"" S"
524,375,0,899,"70° 42' 48,855"" W","30° 2' 0,567"" S"
1119,0,517,1636,"72° 13' 30,891"" W","39° 17' 5,369"" S"
3546,938,1794,6278,"71° 33' 12,790"" W","33° 1' 24,465"" S"
